sampleID,cause.of.death,location,site.tag,sex,age.cement,mass,length,girth,kfi,splenic.index,new.pca,d13C,d15N,echino.worms.present,ech.count,ech.cap,log1.worm,qPCR.binary,bioact,empty,food.vol.unwashed,food.vol.washed,anth.vol,anth.dig.vol,anth.indig.vol,sm.vol,med.vol,ungulate.vol,bird.vol,insect.vol,veg.vol,herb.veg.vol,wood.veg.vol,fruit.vol,dig.apples.vol,dig.crops.vol,dig.food.waste.vol,dig.dog.food.vol
C075,roadkill,urban,A,F,0.931,8.9,75,48,0.1855,1.829,NA,-20.47,7.01,0,0,NA,NA,NA,0,0,140,67.7,43.1,43,0.1,7,0,10,0.1,0,3.5,0,3.5,4,35,0,8,0
C076,conflict,rural,Z,M,1.05369272,11.5,87,54,0.2471,2.812,NA,-22.15,8.92,1,48,NA,NA,1,1,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0
C077,decay,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C078,decay,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C079,roadkill,urban,A,F,0.425,8,76,42,0.2311,2.844,NA,-19.7,9.5,1,39,NA,NA,1,1,0,560,363.2,360,360,0,0,0,0,2,0.1,1.1,1,0.1,0,87,0,43,230
C080,conflict,urban,Z,M,1.176269189,12,88.1,49,0.2209,2.962,NA,-21.3,9.3,0,0,NA,NA,0,0,0,40,49,1,0,1,0,47,0,0,0,1,1,0,0,0,0,0,0
C081,roadkill,urban,A,M,0.425,7.5,75,38.5,0.3526,2.121,NA,-19.9,9,1,341,NA,NA,1,1,0,200,164.7,40,40,0,120,0,0,3.5,0.1,1.1,0.1,1,0,0,0,40,0
C082,roadkill,urban,A,F,0.425,7.5,75,39.5,0.3718,1.289,NA,-19.3,8.6,1,55000,NA,NA,1,1,0,1,1.1,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0
C083,roadkill,urban,A,M,1.114927696,12,86,49,0.1957,2.478,NA,-22.6,7.8,0,0,NA,NA,0,0,0,60,60.1,20,20,0,40,0,0,0,0,0.1,0.1,0,0,20,0,0,0
C084,decay,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C085,roadkill,urban,A,M,0.511,10,81.8,44.5,0.2811,2.342,NA,-21.9,9.3,0,0,NA,NA,1,0,0,30,15.6,3.5,3.5,0,12,0,0,0,0,0.1,0.1,0,0,0.5,0,3,0
C086,roadkill,urban,A,F,0.511,9.5,81,45,0.3332,3.191,NA,-23,8.4,0,0,NA,NA,1,0,0,130,95.2,0,0,0,60,30,0,0.1,0.1,5,4.5,0.5,0,0,0,0,0
C087,roadkill,urban,A,M,0.681,9.5,80,40,0.2066,2.273,NA,-21.4,9.3,0,0,NA,NA,0,0,0,320,298,0,0,0,280,1.5,0,5,0,11.5,9.5,2,0,0,0,0,0
C088,roadkill,urban,A,F,2.681,10.5,87.5,48,0.495,3.1,NA,-22.1,9.3,0,0,NA,NA,1,0,0,310,261.1,0.1,0.1,0,260,0,0,0,0,1,1,0,0,0.1,0,0,0
C089,roadkill,urban,A,M,3.681,12.5,93,49,0.6936,2.558,NA,-21.3,9.6,0,0,NA,NA,1,0,0,300,240.1,0,0,0,40,200,0,0,0,0.1,0.1,0,0,0,0,0,0
C090,conflict,urban,A,M,1.767,11,85,44,0.2464,2.3,NA,-22.6,7.6,1,25,NA,NA,1,1,0,100,62.1,60,60,0,0,1,0,0,0,0.1,0.1,0,1,55,0,5,0
C091,roadkill,urban,A,M,0.482731283,8.5,86,41,0.1989,2.012,NA,-20.1,9.3,1,10,NA,NA,1,1,0,1,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0
C092,roadkill,urban,A,M,1.308,13,87.5,49,0.2754,2.395,NA,-19.7,8.3,0,0,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C093,roadkill,urban,Z,F,6.681,11,86.5,43.5,0.4045,2.49,NA,-22.8,9.1,1,5,NA,NA,1,1,0,11,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
C094,roadkill,urban,A,M,2.844,12.5,90.5,54.5,0.9343,1.87,NA,-22.4,8.2,1,35,NA,NA,1,1,0,100,49,34,33,1,7,0,8,0,0,0,0,0,0,0,0,33,0
C095,roadkill,urban,A,F,2.844,10,85,47,0.1152,2.339,NA,-23,7.7,1,466,NA,NA,1,1,0,80,43.5,43.5,40,3.5,0,0,0,0,0,0,0,0,0,0,0,40,0
C096,roadkill,urban,A,M,3.931,12,86,47.5,0.2062,2.34,NA,-20.6,8.2,1,80,NA,NA,1,1,0,3.5,1.7,0,0,0,0.1,0,0,0.1,0,1.5,1,0.5,0,0,0,0,0
C097,roadkill,urban,A,M,0.256,3.6,73,38,0.1025,2.644,NA,-21.4,8.6,1,24000,NA,NA,1,1,0,190,173.1,40,40,0,120,0,0,6,6,1,1,0,0.1,40,0,0,0
C098,roadkill,urban,A,F,0.256,6.5,77,38,0.1585,2.858,NA,-20.8,7.9,1,135,NA,NA,NA,NA,0,120,93.1,11,4,7,40,0,0,40,2,0.1,0.1,0.1,0,0,0,0,0
C099,roadkill,urban,A,F,1.256,10.7,91,48,0.1002,2.487,NA,-21.7,8.8,0,0,NA,NA,0,0,0,20,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
C100,trapped,rural,NA,F,3.594,10,85,45.5,0.3003,3.074,NA,-23.6,10.1,0,0,NA,NA,NA,NA,0,420,420,0,0,0,260,0,160,0,0,0,0,0,0,0,0,0,0
C101,conflict,rural,Z,M,1.594,12,83,49.5,0.283,3.176,NA,-23.7,10.1,1,937,NA,NA,1,1,0,90,90,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
C102,conflict,rural,Z,M,5.511,10.5,90,46,0.4702,1.348,NA,-22.3,6.3,0,0,NA,NA,0,0,0,50,60.3,30,30,0,30,0,0.1,0,0,0.2,0.1,0.1,0,0,0,30,0
C103,conflict,urban,A,F,7.594,6.2,86.4,43.5,0.0585,3.04,NA,-19.7,7.6,1,593,NA,NA,1,1,0,40,8.5,8.5,7,1.5,0,0,0,0,0,0,0,0,0,7,0,0,0
C104,decay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C105,roadkill,urban,A,F,2.342,11,84,47,0.3208,3.866,NA,-21.29883912,8.590442407,1,12,NA,NA,1,1,0,100,66.5,25,25,0,40,0,0,1,0,0.5,0.5,0,0,0,25,0,0
C106,roadkill,urban,A,F,0.425,11,83,43,0.3134,1.921,NA,-22.4,7.4,1,2946,NA,NA,1,1,0,340,341.1,0,0,0,297,25,0,0.1,0,2.5,1.5,1,16.5,0,0,0,0
C107,conflict,rural,Z,F,6.681,10,83,48,0.432014435,1.788,NA,-22.8,9.4,1,2,NA,NA,1,1,0,40,32,0,0,0,0,0,29,0,0,3,0,3,0,0,0,0,0
C108,trapped,rural,Z,F,0.681,6.8,83.5,39,0.246765926,1.4,NA,-24,5.2,0,0,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C109,conflict,rural,Z,M,0.681,8.5,84,40,0.200056794,1.285,NA,-23.9,5.7,1,357,NA,NA,1,1,0,430,340,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0
C110,conflict,rural,Z,F,0.681,5.5,65.5,38,0.310918775,1.616,NA,-23.2,6.2,0,0,NA,NA,0,0,0,200,85.1,67,7,60,17,0,0,0,0,1.1,1,0.1,0,0,0,7,0
C111,trapped,urban,A,M,1.256,12.9,97,58.5,0.258025439,2.346,NA,-20.4,8.3,0,0,NA,NA,1,0,0,40,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
C112,roadkill,urban,A,M,2.256,13.8,95,52,0.471427095,2.141,NA,-21.36423372,9.018460876,0,0,NA,NA,0,0,0,450,355,290,290,0,60,5,0,0,0,0,0,0,0,0,0,230,60
C113,roadkill,urban,A,M,3.767,11,82,45,0.208604078,1.366,NA,-21.10793783,8.558971023,1,708,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C114,roadkill,urban,A,F,3.256,10.7,89,48,0.281726354,2.347,NA,-20.8,8,0,0,NA,NA,0,0,0,840,341.1,202,266,2,70,3,0,0,0,0.1,0,0.1,0,0,0,266,0
C115,roadkill,urban,A,F,1.847,9.3,85.5,45,0.119853759,6.088,NA,-21.2,7.6,0,0,NA,NA,1,0,0,140,112,8,7,1,100,4,0,0,0,0,0,0,0,7,0,0.1,0
C116,roadkill,urban,A,F,1.847,9.8,90,48,0.344138304,3.19,NA,-21.2,7.2,1,17,NA,NA,1,1,0,70,20,20,20,0,0,0,0,0,0,0,0,0,0,5,0,0,20
C117,roadkill,urban,A,M,9.767,14,92,48,0.188014769,1.647,NA,-20.61485525,8.949354694,0,0,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C118,roadkill,urban,A,M,1.267240132,13,85,49.5,0.167563,2.462,NA,-21.22555235,8.737506007,1,1038,NA,NA,1,1,0,30,21,10.5,10,0.5,10,0,0,0,0,0.5,0.5,0,0,0,0,10,0
